Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
294;DR2-MPDF0-SI912;City park;-8;0.481;0.641;0.275;0.335;1.025;1.1
295;DR2-MPDF0-SX102;Meeting room;0;0.835;0.892;0.514;0.682;1.058;1.383
296;DR2-MPDF0-SX12;Metro;-4;0.607;0.764;0.329;0.4;1.028;1.33
297;DR2-MPDF0-SX192;Copy machine;6;0.801;0.844;0.578;0.689;1.153;1.43
298;DR2-MPDF0-SX282;Town square;2;0.871;0.919;0.658;0.749;1.067;1.999
299;DR2-MPDF0-SX372;River;2;0.917;0.938;0.705;0.822;1.186;2.029
300;DR2-MPGL0-SA1;Living room;4;0.89;0.899;0.775;0.82;1.277;2.54
301;DR2-MPGL0-SA2;Copy machine;-8;0.406;0.394;0.128;0.121;1.028;1.057
302;DR2-MPGL0-SI1099;Living room;-6;0.732;0.809;0.377;0.522;1.029;1.487
303;DR2-MPGL0-SI1729;Bus;-6;0.787;0.841;0.49;0.535;1.035;1.606
304;DR2-MPGL0-SI469;Sports Field;-4;0.871;0.923;0.621;0.77;1.032;2.371
305;DR2-MPGL0-SX109;Speech-shaped noise;0;0.716;0.827;0.346;0.555;1.087;1.509
306;DR2-MPGL0-SX199;Copy machine;2;0.605;0.737;0.351;0.494;1.149;1.271
307;DR2-MPGL0-SX19;Bus;-6;0.913;0.939;0.71;0.817;1.032;2.494
308;DR2-MPGL0-SX289;Copy machine;-2;0.456;0.594;0.265;0.336;1.05;1.128
309;DR2-MPGL0-SX379;Sports Field;-2;0.908;0.946;0.752;0.823;1.054;2.665
310;DR2-MRCZ0-SA1;Metro;-8;0.709;0.774;0.485;0.599;1.031;1.154
311;DR2-MRCZ0-SA2;Sports Field;-6;0.797;0.849;0.594;0.683;1.024;1.635
312;DR2-MRCZ0-SI1541;Bus;-8;0.802;0.882;0.518;0.679;1.023;1.316
313;DR2-MRCZ0-SI2171;River;0;0.618;0.691;0.383;0.417;1.047;1.379
314;DR2-MRCZ0-SI911;Traffic;-2;0.746;0.848;0.531;0.677;1.05;1.6
315;DR2-MRCZ0-SX101;Living room;-4;0.626;0.728;0.318;0.438;1.03;1.216
316;DR2-MRCZ0-SX11;Town square;6;0.845;0.884;0.71;0.805;1.113;2.6
317;DR2-MRCZ0-SX191;Cafeteria;-4;0.533;0.582;0.263;0.329;1.045;1.122
318;DR2-MRCZ0-SX281;Hallway;6;0.962;0.972;0.872;0.919;1.343;3.107
319;DR2-MRCZ0-SX371;Copy machine;0;0.571;0.673;0.263;0.331;1.047;1.187
320;DR2-MRGG0-SA1;Traffic;4;0.893;0.929;0.791;0.87;1.083;2.288
321;DR2-MRGG0-SA2;Meeting room;0;0.778;0.789;0.587;0.623;1.113;1.45
322;DR2-MRGG0-SI1199;Traffic;-2;0.747;0.795;0.501;0.638;1.053;1.594
323;DR2-MRGG0-SI1829;Subway station;0;0.775;0.828;0.526;0.629;1.066;1.571
324;DR2-MRGG0-SI569;River;4;0.901;0.896;0.724;0.749;1.251;1.651
325;DR2-MRGG0-SX119;Traffic;6;0.96;0.957;0.869;0.905;1.278;2.228
326;DR2-MRGG0-SX209;Sports Field;4;0.937;0.954;0.823;0.874;1.16;2.813
327;DR2-MRGG0-SX299;Bus;4;0.935;0.928;0.843;0.833;1.408;2.528
328;DR2-MRGG0-SX29;Sports Field;0;0.963;0.971;0.853;0.906;1.193;2.784
329;DR2-MRGG0-SX389;Copy machine;-2;0.557;0.629;0.366;0.432;1.059;1.123
330;DR2-MTAS1-SA1;Subway station;6;0.833;0.896;0.598;0.724;1.155;1.898
331;DR2-MTAS1-SA2;Meeting room;0;0.789;0.847;0.575;0.654;1.079;1.582
332;DR2-MTAS1-SI1473;River;2;0.932;0.943;0.677;0.791;1.302;1.859
333;DR2-MTAS1-SI2098;City park;-2;0.853;0.898;0.612;0.683;1.095;1.821
334;DR2-MTAS1-SI838;River;6;0.898;0.933;0.641;0.738;1.267;1.832
335;DR2-MTAS1-SX118;Meeting room;-8;0.621;0.699;0.325;0.443;1.041;1.115
336;DR2-MTAS1-SX208;Meeting room;2;0.753;0.838;0.453;0.593;1.068;1.529
337;DR2-MTAS1-SX28;Bus;0;0.916;0.943;0.726;0.811;1.198;2.168
338;DR2-MTAS1-SX298;River;-6;0.656;0.764;0.379;0.509;1.054;1.371
339;DR2-MTAS1-SX388;Meeting room;-2;0.738;0.793;0.432;0.541;1.073;1.335
340;DR2-MTMR0-SA1;Meeting room;0;0.757;0.795;0.438;0.532;1.052;1.219
341;DR2-MTMR0-SA2;Hallway;0;0.914;0.929;0.767;0.829;1.24;2.58
342;DR2-MTMR0-SI1303;Sports Field;-4;0.866;0.918;0.581;0.686;1.043;2.153
343;DR2-MTMR0-SI1933;Bus;-2;0.868;0.91;0.553;0.692;1.065;1.838
344;DR2-MTMR0-SI673;Meeting room;-8;0.695;0.794;0.427;0.57;1.034;1.352
345;DR2-MTMR0-SX133;Hallway;4;0.979;0.977;0.916;0.927;1.557;2.488
346;DR2-MTMR0-SX223;City park;6;0.866;0.888;0.663;0.764;1.222;1.653
347;DR2-MTMR0-SX313;Metro;-4;0.76;0.814;0.355;0.5;1.041;1.427
348;DR2-MTMR0-SX403;Hallway;2;0.931;0.944;0.739;0.854;1.366;2.205
