Sample;Speech;Noise;SNR;STOI orig.;STOI pred.;eSTOI orig.;eSTOI pred.;PESQ orig.;PESQ pred.
1334;DR6-MRJS0-SI2074;Living room;0;0.653;0.821;0.42;0.639;1.047;1.371
1335;DR6-MRJS0-SX184;Meeting room;2;0.654;0.843;0.515;0.745;1.049;2.105
1336;DR6-MRJS0-SX274;Living room;-2;0.809;0.924;0.613;0.81;1.043;2.115
1337;DR6-MRJS0-SX364;City park;-6;0.523;0.73;0.308;0.455;1.026;1.408
1338;DR6-MRJS0-SX4;Living room;4;0.851;0.926;0.738;0.809;1.082;2.473
1339;DR6-MRJS0-SX94;Town square;-2;0.734;0.87;0.494;0.686;1.05;1.835
1340;DR7-FCAU0-SA1;Subway station;-2;0.675;0.718;0.48;0.585;1.019;1.109
1341;DR7-FCAU0-SA2;Copy machine;4;0.675;0.789;0.444;0.621;1.046;1.357
1342;DR7-FCAU0-SI1037;Metro;-6;0.557;0.625;0.294;0.423;1.018;1.089
1343;DR7-FCAU0-SI1667;Copy machine;0;0.56;0.617;0.275;0.429;1.023;1.131
1344;DR7-FCAU0-SI2297;Hallway;6;0.905;0.918;0.794;0.847;1.13;1.87
1345;DR7-FCAU0-SX137;Meeting room;-8;0.612;0.443;0.34;0.264;1.024;1.034
1346;DR7-FCAU0-SX227;Subway station;-8;0.558;0.553;0.228;0.288;1.023;1.053
1347;DR7-FCAU0-SX317;Living room;6;0.751;0.778;0.546;0.602;1.04;1.292
1348;DR7-FCAU0-SX407;Metro;0;0.801;0.862;0.598;0.761;1.032;1.537
1349;DR7-FCAU0-SX47;Hallway;0;0.953;0.965;0.869;0.919;1.246;2.781
1350;DR7-FDHC0-SA1;Hallway;0;0.809;0.906;0.673;0.826;1.031;1.923
1351;DR7-FDHC0-SA2;Meeting room;2;0.735;0.748;0.594;0.635;1.034;1.223
1352;DR7-FDHC0-SI1559;Meeting room;-8;0.607;0.526;0.43;0.453;1.023;1.033
1353;DR7-FDHC0-SI2189;Traffic;-4;0.782;0.873;0.592;0.784;1.021;1.73
1354;DR7-FDHC0-SI929;Subway station;-8;0.566;0.641;0.292;0.435;1.02;1.142
1355;DR7-FDHC0-SX119;Bus;2;0.933;0.966;0.815;0.907;1.103;2.464
1356;DR7-FDHC0-SX209;Meeting room;-2;0.715;0.814;0.518;0.659;1.028;1.196
1357;DR7-FDHC0-SX299;Living room;-8;0.67;0.758;0.481;0.601;1.015;1.188
1358;DR7-FDHC0-SX29;Sports Field;0;0.86;0.923;0.574;0.773;1.029;2.007
1359;DR7-FDHC0-SX389;Bus;-8;0.879;0.938;0.721;0.855;1.04;1.838
1360;DR7-FGWR0-SA1;Town square;6;0.903;0.941;0.72;0.835;1.058;2.15
1361;DR7-FGWR0-SA2;Speech-shaped noise;6;0.816;0.894;0.59;0.769;1.169;1.819
1362;DR7-FGWR0-SI1578;Speech-shaped noise;-8;0.536;0.624;0.173;0.267;1.035;1.137
1363;DR7-FGWR0-SI2208;Hallway;4;0.98;0.982;0.907;0.941;1.177;2.728
1364;DR7-FGWR0-SI948;River;-4;0.944;0.95;0.84;0.884;1.111;1.576
1365;DR7-FGWR0-SX138;Metro;0;0.851;0.896;0.507;0.708;1.042;1.5
1366;DR7-FGWR0-SX228;Town square;-8;0.855;0.919;0.578;0.754;1.034;1.434
1367;DR7-FGWR0-SX318;Speech-shaped noise;2;0.779;0.841;0.425;0.599;1.108;1.504
1368;DR7-FGWR0-SX408;Metro;6;0.961;0.954;0.845;0.905;1.324;2.283
1369;DR7-FGWR0-SX48;Cafeteria;2;0.745;0.809;0.469;0.602;1.04;1.351
1370;DR7-FISB0-SA1;Hallway;-2;0.771;0.874;0.569;0.757;1.021;1.484
1371;DR7-FISB0-SA2;Bus;4;0.984;0.975;0.95;0.959;1.078;2.51
1372;DR7-FISB0-SI1579;Hallway;6;0.978;0.973;0.927;0.916;1.665;2.614
1373;DR7-FISB0-SI2209;Sports Field;-8;0.793;0.9;0.605;0.792;1.019;1.386
1374;DR7-FISB0-SI949;Living room;4;0.893;0.932;0.711;0.822;1.052;1.692
1375;DR7-FISB0-SX139;Copy machine;-6;0.442;0.452;0.214;0.23;1.017;1.034
1376;DR7-FISB0-SX229;Copy machine;4;0.74;0.854;0.529;0.688;1.075;1.499
1377;DR7-FISB0-SX319;Copy machine;6;0.715;0.855;0.515;0.683;1.064;1.444
1378;DR7-FISB0-SX409;Town square;4;0.944;0.953;0.84;0.889;1.057;2.197
1379;DR7-FISB0-SX49;Bus;-2;0.95;0.973;0.828;0.909;1.052;2.574
1380;DR7-FLAS0-SA1;Town square;6;0.891;0.937;0.757;0.864;1.031;2.662
1381;DR7-FLAS0-SA2;Meeting room;-4;0.699;0.709;0.487;0.586;1.035;1.108
1382;DR7-FLAS0-SI1026;Restaurant;-6;0.501;0.484;0.144;0.146;1.028;1.043
1383;DR7-FLAS0-SI1488;Traffic;-4;0.721;0.841;0.472;0.639;1.02;1.717
1384;DR7-FLAS0-SI858;Meeting room;0;0.774;0.869;0.55;0.741;1.027;1.598
1385;DR7-FLAS0-SX138;Restaurant;6;0.801;0.85;0.481;0.702;1.1;1.324
1386;DR7-FLAS0-SX228;Meeting room;6;0.829;0.911;0.64;0.816;1.074;2.012
1387;DR7-FLAS0-SX318;Hallway;-2;0.962;0.952;0.8;0.857;1.342;2.153
1388;DR7-FLAS0-SX408;Living room;-6;0.632;0.703;0.303;0.42;1.025;1.199
1389;DR7-FLAS0-SX48;River;-8;0.601;0.735;0.357;0.488;1.023;1.237
1390;DR7-FMML0-SA1;Copy machine;-4;0.568;0.686;0.297;0.413;1.028;1.11
1391;DR7-FMML0-SA2;Subway station;2;0.824;0.821;0.57;0.652;1.034;1.437
1392;DR7-FMML0-SI1040;Copy machine;-2;0.551;0.644;0.275;0.35;1.025;1.139
1393;DR7-FMML0-SI2300;Cafeteria;6;0.901;0.924;0.703;0.804;1.126;1.887
1394;DR7-FMML0-SX140;City park;4;0.951;0.961;0.823;0.897;1.165;2.098
1395;DR7-FMML0-SX230;City park;4;0.757;0.819;0.623;0.713;1.063;1.7
1396;DR7-FMML0-SX320;City park;2;0.927;0.936;0.778;0.851;1.072;2.189
1397;DR7-FMML0-SX410;Living room;-8;0.747;0.779;0.39;0.499;1.023;1.211
1398;DR7-FMML0-SX50;Restaurant;2;0.764;0.772;0.31;0.417;1.045;1.253
1399;DR7-FSXA0-SA1;City park;-2;0.703;0.746;0.555;0.607;1.026;1.522
1400;DR7-FSXA0-SA2;River;-6;0.472;0.606;0.201;0.359;1.028;1.228
1401;DR7-FSXA0-SI1108;Sports Field;-6;0.8;0.891;0.555;0.736;1.022;1.959
1402;DR7-FSXA0-SI1846;Meeting room;0;0.764;0.705;0.543;0.588;1.055;1.103
1403;DR7-FSXA0-SI478;Restaurant;-4;0.445;0.485;0.175;0.281;1.039;1.091
1404;DR7-FSXA0-SX118;Metro;-6;0.589;0.695;0.39;0.536;1.023;1.212
1405;DR7-FSXA0-SX208;Living room;6;0.935;0.941;0.779;0.825;1.192;1.734
1406;DR7-FSXA0-SX28;River;6;0.82;0.844;0.585;0.643;1.17;1.64
1407;DR7-FSXA0-SX298;Hallway;-8;0.79;0.848;0.623;0.764;1.033;1.941
1408;DR7-FSXA0-SX388;Living room;0;0.854;0.885;0.641;0.708;1.043;1.502
1409;DR7-FTLH0-SA1;Copy machine;-4;0.563;0.602;0.217;0.367;1.022;1.094
1410;DR7-FTLH0-SA2;Speech-shaped noise;-4;0.597;0.675;0.293;0.41;1.044;1.219
1411;DR7-FTLH0-SI1009;Meeting room;-8;0.438;0.314;0.258;0.232;1.028;1.047
1412;DR7-FTLH0-SI1390;Meeting room;-8;0.563;0.558;0.291;0.313;1.021;1.043
1413;DR7-FTLH0-SI1639;Speech-shaped noise;2;0.752;0.832;0.409;0.579;1.066;1.313
